row_id,split
1995,train
2724,train
5224,train
7697,train
1226,train
6837,train
7248,train
6139,train
3089,train
9197,train
2460,train
4893,train
2745,train
295,train
1692,train
6875,train
7777,train
3919,train
444,train
8921,train
1440,train
2155,train
5576,train
124,train
9854,train
737,train
82,train
3689,train
8294,train
5664,train
5511,train
4041,train
8484,train
1859,train
3618,train
6436,train
5180,train
5304,train
626,train
1241,train
4723,train
4909,train
8479,train
89,train
4540,train
3943,train
2421,train
2773,train
3922,train
3330,train
6342,train
5196,train
2593,train
9104,train
858,train
736,train
2470,train
478,train
6032,train
8481,train
6551,train
672,train
3814,train
6948,train
873,train
9472,train
8005,train
4119,train
5430,train
4617,train
3490,train
3497,train
8590,train
6068,train
9594,train
908,train
8667,train
8149,train
3411,train
134,train
5691,train
9320,train
6763,train
4999,train
5164,train
8599,train
8566,train
1977,train
7112,train
3650,train
8651,train
4851,train
8141,train
8534,train
5627,train
8691,train
4830,train
1537,train
2371,train
8803,train
4748,train
7599,train
3254,train
7208,train
3231,train
7432,train
4804,train
2398,train
7690,train
3388,train
9168,train
8869,train
1805,train
861,train
2828,train
5686,train
8648,train
2686,train
4761,train
3418,train
758,train
9903,train
2647,train
1934,train
9015,train
6221,train
7397,train
6975,train
7330,train
7191,train
6891,train
2858,train
604,train
8844,train
2365,train
2333,train
621,train
4989,train
9443,train
9489,train
8189,train
2066,train
984,train
5806,train
9583,train
7837,train
5258,train
7733,train
2933,train
9149,train
9467,train
4363,train
4471,train
4718,train
1904,train
5660,train
5927,train
1126,train
3001,train
4113,train
1975,train
1243,train
2520,train
5173,train
2955,train
4385,train
7431,train
6090,train
9128,train
9622,train
7570,train
3310,train
7756,train
5940,train
4512,train
1855,train
7763,train
2239,train
8249,train
3556,train
8021,train
2767,train
8679,train
3668,train
6500,train
9357,train
4594,train
3236,train
9081,train
979,train
8470,train
912,train
5764,train
3545,train
7180,train
2340,train
6052,train
4522,train
3820,train
4024,train
3995,train
2236,train
2264,train
8981,train
727,train
568,train
7826,train
3537,train
6991,train
2997,train
6298,train
7964,train
3373,train
3746,train
4709,train
8364,train
5994,train
1067,train
4576,train
9880,train
4341,train
7620,train
8050,train
4486,train
9784,train
2822,train
6273,train
9510,train
6696,train
3875,train
2329,train
1194,train
2759,train
2446,train
6824,train
9347,train
7907,train
4779,train
1653,train
6570,train
6156,train
1131,train
6594,train
2306,train
746,train
4766,train
95,train
5391,train
6159,train
3238,train
1282,train
